ReportDate,Region,Commodity,ProjEstFlag,total_supply
January 2011,Argentina,Coarse Grain,Est.,29.75
January 2011,Australia,Coarse Grain,Est.,14.39
January 2011,Brazil,Coarse Grain,Est.,70.86
January 2011,Canada,Coarse Grain,Est.,28.83
January 2011,China,Coarse Grain,Est.,218.2
January 2011,EU-27,Coarse Grain,Est.,174.91
January 2011,FSU-12,Coarse Grain,Est.,76.55
January 2011,Japan,Coarse Grain,Est.,1.75
January 2011,Major Exporters,Coarse Grain,Est.,91.17999999999999
January 2011,Major Importers,Coarse Grain,Est.,280.72
January 2011,Mexico,Coarse Grain,Est.,32.51
January 2011,N. Afr & Mideast,Coarse Grain,Est.,39.64
January 2011,Russia,Coarse Grain,Est.,36.62
January 2011,Saudi Arabia,Coarse Grain,Est.,2.68
January 2011,South Korea,Coarse Grain,Est.,1.85
January 2011,Southeast Asia,Coarse Grain,Est.,26.68
January 2011,Total Foreign,Coarse Grain,Est.,905.69
January 2011,Ukraine,Coarse Grain,Est.,26.37
January 2011,United States,Coarse Grain,Est.,395.81
January 2011,World,Coarse Grain,Est.,1301.5
January 2011,Argentina,Corn,Est.,23.79
January 2011,Brazil,Corn,Est.,68.18
January 2011,Canada,Corn,Est.,11.42
January 2011,China,Corn,Est.,211.17000000000002
January 2011,Egypt,Corn,Est.,8.22
January 2011,EU-27,Corn,Est.,63.3
January 2011,FSU-12,Corn,Est.,19.43
January 2011,Japan,Corn,Est.,1.0
January 2011,Major Exporters,Corn,Est.,41.33
January 2011,Major Importers,Corn,Est.,125.28
January 2011,Mexico,Corn,Est.,23.93
January 2011,South Africa,Corn,Est.,17.53
January 2011,South Korea,Corn,Est.,1.55
January 2011,Southeast Asia,Corn,Est.,26.61
January 2011,Total Foreign,Corn,Est.,584.87
January 2011,Ukraine,Corn,Est.,11.23
January 2011,United States,Corn,Est.,375.05
January 2011,World,Corn,Est.,959.93
January 2011,Afr. Fr. Zone,Cotton,Est.,2.97
January 2011,Australia,Cotton,Est.,2.76
January 2011,Bangladesh,Cotton,Est.,0.75
January 2011,Brazil,Cotton,Est.,10.440000000000001
January 2011,Central Asia,Cotton,Est.,9.36
January 2011,China,Cotton,Est.,54.370000000000005
January 2011,EU-27,Cotton,Est.,1.67
January 2011,India,Cotton,Est.,32.12
January 2011,Indonesia,Cotton,Est.,0.38
January 2011,Major Exporters,Cotton,Est.,63.17
January 2011,Major Importers,Cotton,Est.,76.16
January 2011,Mexico,Cotton,Est.,1.18
January 2011,Pakistan,Cotton,Est.,13.059999999999999
January 2011,S. Hemis,Cotton,Est.,16.63
January 2011,Thailand,Cotton,Est.,0.29
January 2011,Total Foreign,Cotton,Est.,143.55
January 2011,Turkey,Cotton,Est.,3.4
January 2011,United States,Cotton,Est.,18.53
January 2011,Vietnam,Cotton,Est.,0.28
January 2011,World,Cotton,Est.,162.06
January 2011,Brazil,Rice,Est.,8.780000000000001
January 2011,Burma,Rice,Est.,10.639999999999999
January 2011,C. Amer & Carib,Rice,Est.,1.95
January 2011,China,Rice,Est.,175.47
January 2011,Egypt,Rice,Est.,4.859999999999999
January 2011,EU-27,Rice,Est.,3.02
January 2011,India,Rice,Est.,108.13
January 2011,Indonesia,Rice,Est.,43.43
January 2011,Japan,Rice,Est.,10.43
January 2011,Major Exporters,Rice,Est.,168.11999999999998
January 2011,Major Importers,Rice,Est.,77.3
January 2011,Mexico,Rice,Est.,0.35
January 2011,Nigeria,Rice,Est.,3.9699999999999998
January 2011,Pakistan,Rice,Est.,8.0
January 2011,Philippines,Rice,Est.,14.44
January 2011,Sel. Mideast,Rice,Est.,3.2299999999999995
January 2011,South Korea,Rice,Est.,5.92
January 2011,Thailand,Rice,Est.,25.05
January 2011,Total Foreign,Rice,Est.,524.76
January 2011,United States,Rice,Est.,7.88
January 2011,Vietnam,Rice,Est.,26.94
January 2011,World,Rice,Est.,532.63
January 2011,Argentina,Soybean Meal,Est.,27.470000000000002
January 2011,Brazil,Soybean Meal,Est.,27.93
January 2011,China,Soybean Meal,Est.,38.64
January 2011,EU-27,Soybean Meal,Est.,10.010000000000002
January 2011,India,Soybean Meal,Est.,5.76
January 2011,Major Exporters,Soybean Meal,Est.,61.16
January 2011,Major Importers,Soybean Meal,Est.,50.489999999999995
January 2011,Total Foreign,Soybean Meal,Est.,131.65
January 2011,United States,Soybean Meal,Est.,38.04
January 2011,World,Soybean Meal,Est.,169.69
January 2011,Argentina,Soybean Oil,Est.,6.5600000000000005
January 2011,Brazil,Soybean Oil,Est.,6.8
January 2011,China,Soybean Oil,Est.,9.17
January 2011,EU-27,Soybean Oil,Est.,2.39
January 2011,India,Soybean Oil,Est.,1.37
January 2011,Major Exporters,Soybean Oil,Est.,15.75
January 2011,Major Importers,Soybean Oil,Est.,10.540000000000001
January 2011,Pakistan,Soybean Oil,Est.,0.0
January 2011,Total Foreign,Soybean Oil,Est.,31.529999999999998
January 2011,United States,Soybean Oil,Est.,10.200000000000001
January 2011,World,Soybean Oil,Est.,41.71
January 2011,Argentina,"Oilseed, Soybean",Est.,71.09
January 2011,Brazil,"Oilseed, Soybean",Est.,81.03999999999999
January 2011,China,"Oilseed, Soybean",Est.,23.75
January 2011,EU-27,"Oilseed, Soybean",Est.,1.4
January 2011,Japan,"Oilseed, Soybean",Est.,0.41000000000000003
January 2011,Major Exporters,"Oilseed, Soybean",Est.,159.45
January 2011,Major Importers,"Oilseed, Soybean",Est.,26.88
January 2011,Mexico,"Oilseed, Soybean",Est.,0.15
January 2011,Total Foreign,"Oilseed, Soybean",Est.,208.98
January 2011,United States,"Oilseed, Soybean",Est.,95.18
January 2011,World,"Oilseed, Soybean",Est.,304.15999999999997
January 2011,Argentina,Wheat,Est.,11.79
January 2011,Australia,Wheat,Est.,25.51
January 2011,Brazil,Wheat,Est.,6.5600000000000005
January 2011,Canada,Wheat,Est.,33.4
January 2011,China,Wheat,Est.,160.81
January 2011,EU-27,Wheat,Est.,157.02
January 2011,FSU-12,Wheat,Est.,134.65
January 2011,India,Wheat,Est.,94.11000000000001
January 2011,Kazakhstan,Wheat,Est.,18.9
January 2011,Major Exporters,Wheat,Est.,227.70999999999998
January 2011,Major Importers,Wheat,Est.,256.63
January 2011,N. Africa,Wheat,Est.,29.73
January 2011,Pakistan,Wheat,Est.,26.69
January 2011,Russia,Wheat,Est.,72.26
January 2011,Sel. Mideast,Wheat,Est.,23.47
January 2011,Southeast Asia,Wheat,Est.,2.74
