ReportDate,Region,Commodity,ProjEstFlag,total_supply
January 2011,Argentina,Coarse Grain,Proj.,31.19
January 2011,Australia,Coarse Grain,Proj.,16.65
January 2011,Brazil,Coarse Grain,Proj.,66.41
January 2011,Canada,Coarse Grain,Proj.,27.72
January 2011,China,Coarse Grain,Proj.,228.45000000000002
January 2011,EU-27,Coarse Grain,Proj.,164.42999999999998
January 2011,FSU-12,Coarse Grain,Proj.,55.01
January 2011,Japan,Coarse Grain,Proj.,1.74
January 2011,Major Exporters,Coarse Grain,Proj.,93.89
January 2011,Major Importers,Coarse Grain,Proj.,274.71000000000004
January 2011,Mexico,Coarse Grain,Proj.,34.47
January 2011,N. Afr & Mideast,Coarse Grain,Proj.,41.0
January 2011,Russia,Coarse Grain,Proj.,19.27
January 2011,Saudi Arabia,Coarse Grain,Proj.,3.08
January 2011,South Korea,Coarse Grain,Proj.,1.97
January 2011,Southeast Asia,Coarse Grain,Proj.,27.36
January 2011,Total Foreign,Coarse Grain,Proj.,903.28
January 2011,Ukraine,Coarse Grain,Proj.,24.03
January 2011,United States,Coarse Grain,Proj.,378.36
January 2011,World,Coarse Grain,Proj.,1281.64
January 2011,Argentina,Corn,Proj.,24.14
January 2011,Brazil,Corn,Proj.,63.730000000000004
January 2011,Canada,Corn,Proj.,13.47
January 2011,China,Corn,Proj.,221.31
January 2011,Egypt,Corn,Proj.,8.53
January 2011,EU-27,Corn,Proj.,59.9
January 2011,FSU-12,Corn,Proj.,19.93
January 2011,Japan,Corn,Proj.,0.98
January 2011,Major Exporters,Corn,Proj.,41.8
January 2011,Major Importers,Corn,Proj.,124.89999999999999
January 2011,Mexico,Corn,Proj.,25.89
January 2011,South Africa,Corn,Proj.,17.66
January 2011,South Korea,Corn,Proj.,1.6700000000000002
January 2011,Southeast Asia,Corn,Proj.,27.299999999999997
January 2011,Total Foreign,Corn,Proj.,603.5699999999999
January 2011,Ukraine,Corn,Proj.,12.67
January 2011,United States,Corn,Proj.,359.55
January 2011,World,Corn,Proj.,963.12
January 2011,Afr. Fr. Zone,Cotton,Proj.,3.15
January 2011,Australia,Cotton,Proj.,4.7
January 2011,Bangladesh,Cotton,Proj.,0.79
January 2011,Brazil,Cotton,Proj.,12.549999999999999
January 2011,Central Asia,Cotton,Proj.,8.98
January 2011,China,Cotton,Proj.,45.25
January 2011,EU-27,Cotton,Proj.,1.52
January 2011,India,Cotton,Proj.,32.519999999999996
January 2011,Indonesia,Cotton,Proj.,0.39
January 2011,Major Exporters,Cotton,Proj.,67.41
January 2011,Major Importers,Cotton,Proj.,66.35
January 2011,Mexico,Cotton,Proj.,1.2
January 2011,Pakistan,Cotton,Proj.,11.63
January 2011,S. Hemis,Cotton,Proj.,21.02
January 2011,Thailand,Cotton,Proj.,0.29
January 2011,Total Foreign,Cotton,Proj.,138.04
January 2011,Turkey,Cotton,Proj.,4.18
January 2011,United States,Cotton,Proj.,21.27
January 2011,Vietnam,Cotton,Proj.,0.39
January 2011,World,Cotton,Proj.,159.31
January 2011,Brazil,Rice,Proj.,9.229999999999999
January 2011,Burma,Rice,Proj.,10.84
January 2011,C. Amer & Carib,Rice,Proj.,2.05
