ReportDate,Region,Commodity,ProjEstFlag,ratio
January 2011,Argentina,Coarse Grain,Proj.,0.06029810298102981
January 2011,Australia,Coarse Grain,Proj.,0.2039045553145336
January 2011,Brazil,Coarse Grain,Proj.,0.16798486932599724
January 2011,Canada,Coarse Grain,Proj.,0.14008537058595266
January 2011,China,Coarse Grain,Proj.,0.3579175704989153
January 2011,EU-27,Coarse Grain,Proj.,0.0785137112680537
January 2011,FSU-12,Coarse Grain,Proj.,0.0819331697187087
January 2011,Japan,Coarse Grain,Proj.,0.07946336429308566
January 2011,Major Exporters,Coarse Grain,Proj.,0.15520984081041966
January 2011,Major Importers,Coarse Grain,Proj.,0.10488045353709638
January 2011,Mexico,Coarse Grain,Proj.,0.07708830548926014
January 2011,N. Afr & Mideast,Coarse Grain,Proj.,0.18602418890382028
January 2011,Russia,Coarse Grain,Proj.,0.06865219586067642
January 2011,Saudi Arabia,Coarse Grain,Proj.,0.23468328141225334
January 2011,South Korea,Coarse Grain,Proj.,0.18161434977578478
January 2011,Southeast Asia,Coarse Grain,Proj.,0.09302325581395349
January 2011,Total Foreign,Coarse Grain,Proj.,0.15460548709918986
January 2011,Ukraine,Coarse Grain,Proj.,0.07366071428571429
January 2011,United States,Coarse Grain,Proj.,0.06295210166177907
January 2011,World,Coarse Grain,Proj.,0.1281285804192419
January 2011,Argentina,Corn,Proj.,0.040343347639484974
January 2011,Brazil,Corn,Proj.,0.1705244122965642
January 2011,Canada,Corn,Proj.,0.1162962962962963
January 2011,China,Corn,Proj.,0.37059186189889026
January 2011,Egypt,Corn,Proj.,0.10467882632831087
January 2011,EU-27,Corn,Proj.,0.0823529411764706
January 2011,FSU-12,Corn,Proj.,0.08085977482088025
January 2011,Japan,Corn,Proj.,0.0608695652173913
January 2011,Major Exporters,Corn,Proj.,0.14876712328767122
January 2011,Major Importers,Corn,Proj.,0.09010827674802717
January 2011,Mexico,Corn,Proj.,0.08248407643312101
January 2011,South Africa,Corn,Proj.,0.33939393939393947
January 2011,South Korea,Corn,Proj.,0.18255813953488373
January 2011,Southeast Asia,Corn,Proj.,0.09323703217334207
January 2011,Total Foreign,Corn,Proj.,0.18432181712765597
January 2011,Ukraine,Corn,Proj.,0.08376068376068377
January 2011,United States,Corn,Proj.,0.05546110101424636
January 2011,World,Corn,Proj.,0.1369183664668593
